Tournment,Series,Gender,Format,Market,Start Time,Settled date,Profit/Loss,Won/ Lost,Match/Fancy,Bet Type,Market Name
CPL,CPL 2024,Mens,T20,CRICKETSt Kitts & Nevis Patriots v Guyana Amazon WarriorsM Louis Runs,05-09-2024 07:57,05-09-2024 08:46,247.5,Won,Fancy,Player Runs,Fancy
Intl,Intl,Mens,T20I,CRICKETScotland v AustraliaG Munsey Runs,04-09-2024 18:17,04-09-2024 18:58,180.0,Won,Fancy,Player Runs,Fancy
Intl,Intl,Mens,Test,CRICKETEngland v Sri LankaKamindu M Runs (2),01-09-2024 19:28,01-09-2024 19:54,-600.0,Lost,Fancy,Player Runs,Fancy
CPL,CPL 2024,Mens,T20,CRICKETSt. Kitts and Nevis Patriots v Trinbago Knight RidM Louis Runs,01-09-2024 06:39,01-09-2024 07:47,300.0,Won,Fancy,Player Runs,Fancy
CPL,CPL 2024,Mens,T20,CRICKETAntigua And Barbuda Falcons v Guyana Amazon Warrio1st Wkt GAW,31-08-2024 06:03,31-08-2024 06:28,-250.0,Lost,Fancy,Paternship Runs,Fancy
CPL,CPL 2024,Mens,T20,CRICKETAntigua And Barbuda Falcons v Guyana Amazon Warrio20 Over ABF,31-08-2024 03:54,31-08-2024 06:11,100.0,Won,Fancy,Team Runs,Fancy
CPL,CPL 2024,Mens,T20,CRICKETAntigua And Barbuda Falcons v Guyana Amazon Warrio10 Over ABF,31-08-2024 03:57,31-08-2024 05:17,-100.0,Lost,Fancy,Team Runs,Fancy
CPL,CPL 2024,Mens,T20,CRICKETAntigua And Barbuda Falcons v Guyana Amazon Warrio6 Over ABF,31-08-2024 03:55,31-08-2024 04:59,-100.0,Lost,Fancy,Team Runs,Fancy
Intl,Intl,Mens,Test,CRICKETEngland v Sri LankaKamindu M Runs,30-08-2024 19:04,30-08-2024 22:18,450.0,Won,Fancy,Player Runs,Fancy
Intl,Intl,Mens,Test,CRICKETEngland v Sri LankaD Karunaratne Runs,30-08-2024 16:41,30-08-2024 17:32,-284.0,Lost,Fancy,Player Runs,Fancy
CPL,CPL 2024,Mens,T20,CRICKETAntigua And Barbuda Falcons v St. Kitts and Nevis 1st 3 Wkt SKN,30-08-2024 07:08,30-08-2024 08:06,-220.0,Lost,Fancy,Paternship Runs,Fancy
Intl,Intl,Mens,T20I,CRICKETUSA v CanadaA Gous Runs,27-08-2024 17:17,27-08-2024 18:33,-200.0,Lost,Fancy,Player Runs,Fancy
RHF Trophy,RHF Trophy 2024,Womens,Other ODI,CRICKETSunrisers v Northern DiamondsH Armitage Runs,26-08-2024 14:46,26-08-2024 15:57,-200.0,Lost,Fancy,Player Runs,Fancy
